study_word,test,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
,p_li_e,,[],[],[],[],[],[],[],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,_ea_o_,"teacom
",[],[],[],[],[],[],[],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,_ia_n_,"piano
","[-0.02857142857142857, -0.004285714285714286]","[-0.3485714285714286, -0.3171428571428571]","[1, 1]","[0, 0]","[0, 0]","[8.435742400004528, 9.137681799998973]",['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,_ru_is_,cruise,[-0.15714285714285714],[-0.27714285714285714],[1],[0],[0],[4.58788690000074],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,_o_rd,board,[-0.05857142857142857],[-0.29],[1],[0],[0],[8.550892200000817],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,p_as_tr_,pastry,[0.0],[-0.31],[1],[0],[0],[6.3373229000135325],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,_o_s_,noise,[-0.041428571428571426],[-0.30428571428571427],[1],[0],[0],[5.371345899999142],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,t_ai_s,trails,[0.008571428571428572],[-0.3171428571428571],[1],[0],[0],[5.718590200005565],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,_oo_,wood,[-0.07714285714285714],[-0.31285714285714283],[1],[0],[0],[3.6531929000047967],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,_ho_e,shoe,[],[],[],[],[],[],[],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,bo_t_e,bottle,[0.055714285714285716],[-0.29714285714285715],[1],[0],[0],[5.071170600014739],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,s_ho_l,school,[-0.04857142857142857],[-0.30142857142857143],[1],[0],[0],[7.986576300027082],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,_e_ea_,teea,[],[],[],[],[],[],[],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,a_p_e,apple,[],[],[],[],[],[],[],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,c_s_h_o_n,cushion,[-0.055714285714285716],[-0.2957142857142857],[1],[0],[0],[4.076757299975725],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,d_es_,does,[],[],[],[],[],[],[],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,v_s_,vase,[-0.03428571428571429],[-0.3],[1],[0],[0],[3.521071600000141],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,c_al_,calmer,[],[],[],[],[],[],[],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,t_hi_t,tshirt,"[-0.07285714285714286, -0.054285714285714284]","[-0.32857142857142857, -0.30714285714285716]","[1, 1]","[0, 0]","[0, 0]","[3.807134699978633, 4.9548414000018965]",['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,t_g_r,tiger,[0.06142857142857143],[-0.30142857142857143],[1],[0],[0],[3.3503947000135668],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,p_nc_l,pencil,[-0.03142857142857143],[-0.3171428571428571],[1],[0],[0],[4.82093280000845],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,_to_e,stove,[-0.07714285714285714],[-0.3142857142857143],[1],[0],[0],[7.219721600005869],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,_ha_t,what,[],[],[],[],[],[],[],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,c_m_r_,"comrom
",[0.03],[-0.2885714285714286],[1],[0],[0],[6.351231899985578],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,c_ea_,cream,[-0.04285714285714286],[-0.3],[1],[0],[0],[5.291024500009371],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,_a_bl_,marble,[-0.06714285714285714],[-0.2857142857142857],[1],[0],[0],[3.7875577000086196],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,p_n_s,,[],[],[],[],[],[],[],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,l_pt_p,laptop,"[-0.024285714285714285, -0.025714285714285714]","[-0.2642857142857143, -0.29285714285714287]","[1, 1]","[0, 0]","[0, 0]","[3.4403206999995746, 4.4740056000009645]",['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,t_bl_,table,[-0.10714285714285714],[-0.30857142857142855],[1],[0],[0],[2.855970400007209],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,_a_e,tate,[-0.10714285714285714],[-0.30857142857142855],[1],[0],[0],[7.001852099987445],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,o_a_n_e,orange,[-0.10714285714285714],[-0.30857142857142855],[1],[0],[0],[3.72225660001277],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,_oa_,boat,[-0.10714285714285714],[-0.30857142857142855],[1],[0],[0],[3.971346000005724],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,_ou_se,mouse,[-0.08571428571428572],[-0.29428571428571426],[1],[0],[0],[4.588062700000592],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,_p_a_d_,,[],[],[],[],[],[],[],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,_ha_g_r,ghagra,[],[],[],[],[],[],[],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,c_f_e_,,[-0.08571428571428572],[-0.29428571428571426],[1],[0],[0],[0.40257400000700727],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,_ar_e_,"parcel
",[-0.08571428571428572],[-0.29428571428571426],[1],[0],[0],[6.822033900010865],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,c_s_,case,[-0.08571428571428572],[-0.29428571428571426],[1],[0],[0],[2.789465100009693],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,b_na_a,banana,[-0.08571428571428572],[-0.29428571428571426],[1],[0],[0],[3.223137699998915],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,proportion of hit,36,0.923076923,,,,,,,,,,
,,,proportion of non prime words,28,0.717948718,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,prime score,,0.205128205,,,,,,,,,,
